purchase_product_name,purchase_brand,purchase_quantity,purchase_time,purchase_billnm,purchase_cashier_name,purchase_status
PIXMA45,Canon,5,10/1/2022,BBGD0K,big fish,paid
PIXMA45,Canon,9,10/2/2022,BBKMPH,fishy,paid
PIXMA45,Canon,14,10/3/2022,BBQQ7A,someone,paid
PIXMA45,Canon,18,10/4/2022,BBNSA2,fishy,paid
PIXMA45,Canon,23,10/5/2022,BBYUMV,we,paid
PIXMA45,Canon,27,10/6/2022,BB0ZV1,we,paid
PIXMA45,Canon,32,10/7/2022,BBNNVH,you,paid
PIXMA45,Canon,36,10/8/2022,BB5YYU,yl,paid
PIXMA45,Canon,41,10/9/2022,BBMK1W,w,paid
PIXMA45,Canon,35,10/10/2022,BBQ3T9,uf,paid
PIXMA45,Canon,46,10/11/2022,BBCFV1,q,paid
PIXMA45,Canon,50,10/12/2022,BBEBE3,wqwq,paid
PIXMA45,Canon,55,10/13/2022,BBMCCO,re,paid
PIXMA45,Canon,59,10/14/2022,BBTIAM,we,paid
PIXMA45,Canon,64,10/15/2022,BBPCWG,re,paid
PIXMA45,Canon,68,10/16/2022,BBDDNB,wer,paid
PIXMA45,Canon,73,10/17/2022,BBKUKO,youtube,paid
PIXMA45,Canon,78,10/18/2022,BBGDUQ,red,paid
PIXMA45,Canon,82,10/19/2022,BBVYXU,red,paid
PIXMA45,Canon,87,10/20/2022,BBGCVF,ou,paid
PIXMA45,Canon,91,10/21/2022,BBS02R,oiu,paid
PIXMA45,Canon,96,10/22/2022,BBJTCX,rere,paid
PIXMA45,Canon,100,10/23/2022,BBDGCA,wew,paid
PIXMA45,Canon,95,10/24/2022,BB7CF1,ret,paid
PIXMA45,Canon,105,10/25/2022,BBKIWG,you,paid
PIXMA45,Canon,109,10/26/2022,BBK4ZV,you,paid
PIXMA45,Canon,114,10/27/2022,BBLSQU,full name,paid
PIXMA45,Canon,120,10/28/2022,BBYZBB,pop,paid
PIXMA45,Canon,100,10/29/2022,BBPRA6,csh,paid
PIXMA45,Canon,115,10/30/2022,BBBX2J,oyrei,paid
PIXMA45,Canon,121,10/31/2022,BBZTAK,sds,paid
